id,split,question,baseline,status,correct_refusal,returned_documents,latency_ms,top_20_document_ids
U006,dev,Give me a vegetarian lasagna recipe.,B3_final,low_confidence,1.0,20,649.823,tt33354831 || tt36398612 || tt21092260 || tt36021583 || tt34446638 || tt36461929 || fictional-paper-moons-of-caldera || tt26720806 || tt33499857 || tt28553375 || tt13137408 || tt14338246 || tt28603964 || tt30267245 || tt15180340 || tt27720130 || tt32344535 || tt35746577 || tt33268003 || tt12421680
U007,dev,What could cause a severe headache and blurred vision?,B0_closed_book_refusal,refused,1.0,0,0.002,
U007,dev,What could cause a severe headache and blurred vision?,B1_bm25,ok,0.0,20,13.612,tt32033768 || tt35672651 || tt36286603 || tt36201830 || tt35051231 || tt35745479 || tt34382183 || tt23018852 || tt36130077 || tt35185593 || tt34622142 || tt36241806 || tt34890345 || tt28786970 || tt19838566 || tt36052167 || tt28119167 || tt33334564 || tt34210614 || tt34383465
U007,dev,What could cause a severe headache and blurred vision?,B2_dense_naive,ok,0.0,20,9.169,tt19838566 || tt35672651 || tt34210614 || tt34172063 || tt32362890 || tt33763941 || tt35323618 || tt23685396 || tt27558029 || tt32437905 || tt35745479 || tt10873988 || tt32315584 || tt34622142 || tt29281812 || tt30007172 || tt31849590 || tt36238824 || tt31474395 || tt32141377
U007,dev,What could cause a severe headache and blurred vision?,B3_final,low_confidence,1.0,20,705.093,tt35672651 || tt32033768 || tt35745479 || tt36286603 || tt23018852 || tt28786970 || tt34622142 || tt32315584 || tt35051231 || tt30007172 || tt35323618 || tt31849590 || tt34890345 || tt36201830 || tt28119167 || tt36130077 || tt34172063 || tt27558029 || tt23685396 || tt34210614
U008,dev,Can my landlord evict me without written notice?,B0_closed_book_refusal,refused,1.0,0,0.001,
U008,dev,Can my landlord evict me without written notice?,B1_bm25,ok,0.0,20,20.522,tt36322381 || tt31382021 || tt28078235 || tt33349109 || tt36270448 || tt33474152 || tt35509393 || tt33087870 || tt34583541 || tt26671990 || tt13080164 || tt19838566 || tt36178459 || tt13652154 || tt31110228 || tt32612507 || tt11082468 || tt30324264 || tt34766794 || tt32565993
U008,dev,Can my landlord evict me without written notice?,B2_dense_naive,ok,0.0,20,11.188,tt28078235 || tt35854741 || tt35625318 || tt35111865 || tt35407595 || tt27558029 || tt33349109 || tt29482602 || tt35520399 || tt36067615 || tt32873023 || tt32344535 || tt29302662 || tt14201728 || tt35933035 || tt35509393 || tt33247323 || tt14191408 || tt35745479 || tt11429408
U008,dev,Can my landlord evict me without written notice?,B3_final,low_confidence,1.0,20,481.055,tt28078235 || tt35509393 || tt31382021 || tt35854741 || tt36270448 || tt35625318 || tt33087870 || tt33474152 || tt31110228 || tt13652154 || tt36178459 || tt33349109 || tt26671990 || tt34583541 || tt11082468 || tt29302662 || tt35520399 || tt32344535 || tt29482602 || tt32612507
U009,dev,How do you say good morning in Japanese?,B0_closed_book_refusal,refused,1.0,0,0.002,
U009,dev,How do you say good morning in Japanese?,B1_bm25,ok,0.0,20,11.238,tt31080774 || tt33440748 || tt26931994 || tt18182628 || tt27142469 || tt32125009 || tt34579449 || tt31896676 || tt34885279 || tt35718349 || tt15437998 || tt35819561 || tt36450921 || tt13868840 || tt34673881 || tt20249852 || tt32081962 || tt31689648 || tt20883096 || tt35890599
U009,dev,How do you say good morning in Japanese?,B2_dense_naive,ok,0.0,20,19.627,tt30177290 || tt31972598 || tt30608304 || tt14576898 || fictional-paper-moons-of-caldera || tt15367676 || tt35682680 || tt15437998 || tt32272953 || tt32192760 || tt21364576 || tt26931994 || tt33571304 || tt36282134 || tt35718349 || tt32118517 || tt27558029 || tt32045419 || tt34733903 || tt27049704
U009,dev,How do you say good morning in Japanese?,B3_final,low_confidence,1.0,20,661.026,tt21364576 || tt30177290 || tt15437998 || tt34885279 || tt33440748 || tt36450921 || tt33571304 || tt18182628 || tt35718349 || tt27142469 || tt32045419 || tt35682680 || tt31080774 || tt13868840 || tt32272953 || tt32125009 || tt36282134 || tt26931994 || tt32192760 || tt14576898
U010,dev,Who is the current president of Brazil?,B0_closed_book_refusal,refused,1.0,0,0.001,
U010,dev,Who is the current president of Brazil?,B1_bm25,ok,0.0,20,13.798,tt31917699 || tt34093882 || tt34163604 || tt26735622 || tt33397980 || tt33751273 || tt33197724 || tt31939807 || tt36163614 || tt12097608 || tt32129938 || tt10518942 || tt13650572 || tt34766794 || tt22059312 || tt26475239 || tt35669932 || tt15427952 || tt33317797 || tt33376558
U010,dev,Who is the current president of Brazil?,B2_dense_naive,ok,0.0,20,8.248,tt34727612 || tt31078765 || tt33397980 || tt13137408 || tt35291758 || tt35748025 || tt26735622 || tt31517264 || tt31917699 || tt33510646 || tt33480564 || tt15653280 || tt14985230 || tt36120762 || tt34093882 || tt13975248 || tt33039055 || tt33058293 || tt33751273 || tt33451014
U010,dev,Who is the current president of Brazil?,B3_final,low_confidence,1.0,20,672.602,tt31917699 || tt26735622 || tt34727612 || tt35748025 || tt33397980 || tt31939807 || tt35291758 || tt33751273 || tt12097608 || tt33197724 || tt33510646 || tt36163614 || tt31517264 || tt26475239 || tt34093882 || tt33039055 || tt14985230 || tt36120762 || tt34163604 || tt22059312
U011,dev,What was the score of the Lakers' most recent game?,B0_closed_book_refusal,refused,1.0,0,0.001,
U011,dev,What was the score of the Lakers' most recent game?,B1_bm25,ok,0.0,20,15.66,tt11609626 || tt36164749 || tt30833294 || tt36396485 || tt34906817 || tt32161395 || tt34382183 || tt36046630 || tt29259211 || tt34305694 || tt33317100 || tt31828554 || tt35675151 || fictional-neon-meridian || tt35351269 || tt36052167 || tt35373270 || tt21364576 || tt32649961 || tt33702073
U011,dev,What was the score of the Lakers' most recent game?,B2_dense_naive,ok,0.0,20,10.999,tt21027078 || tt21853406 || tt34705762 || tt19853742 || tt35566934 || tt36169378 || tt30984804 || tt33571304 || tt30833294 || tt30788209 || tt22059312 || tt36103784 || tt13080164 || tt36070642 || tt30521753 || tt36313062 || tt12421680 || tt36164749 || tt36021583 || tt32112775
U011,dev,What was the score of the Lakers' most recent game?,B3_final,low_confidence,1.0,20,739.029,tt36164749 || tt33571304 || tt34305694 || tt34906817 || tt32161395 || tt21027078 || tt36070642 || tt36046630 || fictional-neon-meridian || tt30984804 || tt35351269 || tt22059312 || tt29259211 || tt11609626 || tt30833294 || tt34705762 || tt31828554 || tt12421680 || tt36103784 || tt30788209
U012,dev,How long is a nonstop flight from New York to Tokyo?,B0_closed_book_refusal,refused,1.0,0,0.001,
U012,dev,How long is a nonstop flight from New York to Tokyo?,B1_bm25,ok,0.0,20,18.475,tt33035557 || tt13080164 || tt32315584 || tt30057115 || tt28493994 || tt36460241 || tt34727054 || tt14113634 || tt29516222 || tt33378223 || tt33412851 || tt31728330 || tt33610673 || tt30575879 || tt35718349 || tt32033768 || tt14201728 || tt33372918 || tt33253151 || tt35991849
U012,dev,How long is a nonstop flight from New York to Tokyo?,B2_dense_naive,ok,0.0,20,22.559,tt31972598 || tt23143606 || tt33514933 || tt29516222 || tt33599043 || tt13080164 || tt27049704 || tt32298956 || tt32331644 || tt22941170 || tt35253781 || tt33499787 || tt35745479 || tt35890599 || tt32315584 || tt28418144 || tt35683453 || tt30608304 || tt21364576 || tt14487192
U012,dev,How long is a nonstop flight from New York to Tokyo?,B3_final,low_confidence,1.0,20,695.074,tt13080164 || tt29516222 || tt32033768 || tt28493994 || tt35745479 || tt33514933 || tt23143606 || tt32298956 || tt32315584 || tt33035557 || tt32331644 || tt30057115 || tt22941170 || tt36460241 || tt33412851 || tt34727054 || tt35718349 || tt33599043 || tt33610673 || tt33378223
U013,dev,At what temperature does water boil at high altitude?,B0_closed_book_refusal,refused,1.0,0,0.001,
U013,dev,At what temperature does water boil at high altitude?,B1_bm25,ok,0.0,20,13.04,tt33514933 || tt31455863 || tt31110228 || tt35051231 || tt28144668 || tt35828434 || tt35322760 || tt36046630 || tt30827810 || tt27751771 || tt13652154 || tt31870184 || tt33349816 || tt33087870 || tt36052167 || tt21364576 || tt29516222 || tt35007241 || tt35887288 || tt29508955
U013,dev,At what temperature does water boil at high altitude?,B2_dense_naive,ok,0.0,20,20.135,tt33514933 || tt29516222 || tt29377719 || tt27558029 || tt19838566 || tt36230671 || tt28106059 || tt34577866 || tt27564844 || tt33268003 || fictional-clockwork-tide || tt33253151 || tt35079512 || fictional-paper-moons-of-caldera || tt28703603 || tt35669487 || tt33499787 || tt29952017 || tt34934816 || fictional-neon-meridian
U013,dev,At what temperature does water boil at high altitude?,B3_final,low_confidence,1.0,20,701.157,tt33514933 || tt35051231 || tt35828434 || tt31870184 || tt13652154 || tt36046630 || tt33087870 || tt27751771 || tt21364576 || tt35669487 || tt36230671 || tt33253151 || tt28106059 || tt31455863 || tt33349816 || tt27558029 || tt35322760 || tt28144668 || tt31110228 || fictional-neon-meridian
U014,dev,Write a short poem about autumn rain.,B0_closed_book_refusal,refused,1.0,0,0.001,
U014,dev,Write a short poem about autumn rain.,B1_bm25,ok,0.0,20,10.719,tt28088049 || tt30264102 || tt35891686 || tt33998222 || tt32572716 || tt36177959 || tt1402593 || tt31848337 || tt33270254 || tt20259240 || tt11799770 || tt36161641 || tt35520399 || fictional-neon-meridian || tt33480564 || tt30224625 || tt36107540 || tt34239633 || tt29952017 || tt31738051
U014,dev,Write a short poem about autumn rain.,B2_dense_naive,ok,0.0,20,13.168,tt36177959 || tt33253151 || tt28302848 || tt22740896 || tt32397787 || tt34383748 || tt33499787 || fictional-neon-meridian || tt33087870 || tt1094588 || tt32991617 || tt22868010 || fictional-the-orchard-below || tt35672651 || tt36136694 || tt12097608 || tt36457928 || tt33030353 || tt28703603 || tt27558029
U014,dev,Write a short poem about autumn rain.,B3_final,low_confidence,1.0,20,639.09,tt36177959 || tt33253151 || tt33087870 || tt34383748 || fictional-neon-meridian || tt12097608 || tt28302848 || tt36161641 || tt32397787 || tt30264102 || tt1094588 || tt20259240 || fictional-the-orchard-below || tt33499787 || tt22740896 || tt35891686 || tt28088049 || tt33270254 || tt33480564 || tt1402593
U015,dev,How can I recover a forgotten email password?,B0_closed_book_refusal,refused,1.0,0,0.001,
U015,dev,How can I recover a forgotten email password?,B1_bm25,ok,0.0,20,14.392,tt29464189 || tt23685396 || tt34383084 || tt1796506 || tt36322381 || tt33412851 || tt35376053 || tt33378223 || tt33030099 || tt15367676 || tt28786970 || tt34888646 || tt35819561 || tt22042290 || tt29493810 || tt33308959 || tt33294048 || tt35288598 || tt23143606 || tt19838566
U015,dev,How can I recover a forgotten email password?,B2_dense_naive,ok,0.0,20,17.572,tt29464189 || tt31738051 || tt29429839 || tt32634286 || tt35891686 || tt29302662 || tt19465802 || tt32498156 || tt32825328 || tt31419825 || tt32056738 || tt28553375 || tt22042290 || tt29493810 || tt36062092 || tt13353660 || tt35745479 || tt31839457 || tt35231529 || tt18342860
U015,dev,How can I recover a forgotten email password?,B3_final,low_confidence,1.0,20,684.379,tt29493810 || tt22042290 || tt33308959 || tt35745479 || tt34888646 || tt31839457 || tt32056738 || tt28553375 || tt29464189 || tt33378223 || tt28786970 || tt33030099 || tt31738051 || tt32634286 || tt29302662 || tt1796506 || tt15367676 || tt33412851 || tt31419825 || tt32498156
U016,dev,What time is the next train from Boston to Providence?,B0_closed_book_refusal,refused,1.0,0,0.001,
U016,dev,What time is the next train from Boston to Providence?,B1_bm25,ok,0.0,20,12.314,tt36286603 || tt35300247 || tt35887288 || tt33978029 || tt20259240 || tt34386603 || tt35745479 || tt30876486 || tt30326172 || tt30332656 || tt30224274 || tt36244882 || tt35991849 || tt27545912 || tt26764007 || tt22187488 || tt13576680 || tt19881142 || tt23143606 || tt30833294
U016,dev,What time is the next train from Boston to Providence?,B2_dense_naive,ok,0.0,19,14.869,tt34386603 || fictional-ember-transit || tt20259240 || tt35079512 || tt29897844 || tt35325482 || tt32547691 || fictional-clockwork-tide || fictional-neon-meridian || tt31136586 || tt35322760 || tt14630308 || tt33253151 || tt35890599 || fictional-paper-moons-of-caldera || tt33499787 || tt35253781 || tt33247653 || tt36331860
U016,dev,What time is the next train from Boston to Providence?,B3_final,low_confidence,1.0,19,1226.277,tt20259240 || fictional-ember-transit || tt35300247 || tt34386603 || tt35745479 || tt36286603 || tt33978029 || tt30876486 || tt32547691 || tt27545912 || tt31136586 || tt30332656 || fictional-neon-meridian || tt35890599 || tt14630308 || tt35253781 || tt29897844 || tt35325482 || tt30224274
U017,dev,When is the federal income-tax filing deadline?,B0_closed_book_refusal,refused,1.0,0,0.001,
U017,dev,When is the federal income-tax filing deadline?,B1_bm25,ok,0.0,20,12.605,tt35261976 || tt26931994 || tt32915652 || tt32582148 || tt31896676 || tt32129938 || tt33071426 || tt33674441 || tt29295850 || tt33083436 || tt27818128 || tt36454107 || tt14173636 || tt27368180 || tt34125607 || tt32244353 || tt32124219 || tt32612507 || tt34734549 || tt33349816
U017,dev,When is the federal income-tax filing deadline?,B2_dense_naive,ok,0.0,20,12.738,tt30876828 || tt23552146 || tt35291758 || tt35261976 || tt2355896 || tt11429408 || tt36021583 || tt23143606 || tt28553375 || tt33760366 || tt30984804 || tt32582148 || tt34577866 || tt32192760 || tt33253151 || tt31080036 || tt22046822 || tt14674972 || tt13137408 || tt36286603
U017,dev,When is the federal income-tax filing deadline?,B3_final,low_confidence,1.0,20,721.313,tt32582148 || tt32915652 || tt36021583 || tt33674441 || tt35291758 || tt23552146 || tt23143606 || tt32244353 || tt33760366 || tt34125607 || tt26931994 || tt33253151 || tt32192760 || tt36454107 || tt35261976 || tt28553375 || tt30984804 || tt31896676 || tt27368180 || tt30876828
U018,dev,How do I restart a failing Kubernetes pod?,B0_closed_book_refusal,refused,1.0,0,0.002,
U018,dev,How do I restart a failing Kubernetes pod?,B1_bm25,ok,0.0,20,14.936,tt32827440 || tt36322381 || tt35376053 || tt35819561 || tt33524865 || tt22335734 || tt32569057 || tt31411238 || tt33474179 || tt33499146 || tt23685396 || tt34224928 || tt23143606 || tt33996258 || tt31080774 || tt34748398 || tt28447429 || tt30790768 || tt34727612 || tt14113634
U018,dev,How do I restart a failing Kubernetes pod?,B2_dense_naive,low_confidence,1.0,20,17.651,tt17079684 || tt28289169 || tt35111865 || fictional-ember-transit || tt32192760 || tt33452002 || tt10515398 || tt32293052 || tt20249852 || tt29942819 || tt31849590 || tt31419825 || tt27720130 || tt31078765 || tt35994346 || tt30267245 || tt32317643 || tt32298956 || tt35683453 || tt1796506
U018,dev,How do I restart a failing Kubernetes pod?,B3_final,low_confidence,1.0,20,701.495,tt29942819 || tt35994346 || tt32827440 || tt30267245 || tt22335734 || tt23143606 || tt33524865 || tt33996258 || tt27720130 || tt31849590 || tt31419825 || tt34224928 || tt32293052 || tt28289169 || tt32569057 || tt17079684 || tt32192760 || tt10515398 || tt20249852 || tt33452002
U019,dev,What is the monthly payment on a 300000 dollar mortgage?,B0_closed_book_refusal,refused,1.0,0,0.001,
U019,dev,What is the monthly payment on a 300000 dollar mortgage?,B1_bm25,ok,0.0,20,15.612,tt35111865 || tt36313062 || tt27681354 || tt33298998 || tt33702073 || tt30851137 || tt35571169 || tt29922891 || tt2355896 || tt27215011 || tt18239362 || tt33334564 || tt31455863 || tt14500286 || tt32658576 || tt32612507 || tt34734549 || tt21364576 || tt28611345 || tt33255196
U019,dev,What is the monthly payment on a 300000 dollar mortgage?,B2_dense_naive,ok,0.0,20,9.66,tt30876828 || tt14201728 || tt24060916 || tt33219707 || tt35111865 || tt26931994 || tt28603964 || tt35566934 || tt11429408 || tt33298998 || tt21188986 || tt36151341 || tt32321803 || tt34459219 || tt27720130 || tt13137408 || tt35854741 || tt31728330 || tt29922891 || tt35407595
U019,dev,What is the monthly payment on a 300000 dollar mortgage?,B3_final,low_confidence,1.0,20,759.2,tt32658576 || tt33334564 || tt35571169 || tt28603964 || tt29922891 || tt30851137 || tt33298998 || tt13137408 || tt27720130 || tt33702073 || tt32612507 || tt26931994 || tt33219707 || tt31455863 || tt14500286 || tt32321803 || tt27215011 || tt36151341 || tt2355896 || tt18239362
U020,dev,What is the chemical formula for sulfuric acid?,B0_closed_book_refusal,refused,1.0,0,0.002,
U020,dev,What is the chemical formula for sulfuric acid?,B1_bm25,ok,0.0,20,10.584,tt31416916 || tt35022209 || tt30851137 || tt2355896 || tt35571169 || tt31738051 || tt18239362 || tt33334564 || tt32658576 || tt20495188 || tt31455863 || tt34510525 || tt29377719 || tt34382183 || tt36286603 || tt32033768 || tt33499857 || tt32612507 || tt34734549 || tt35051231
U020,dev,What is the chemical formula for sulfuric acid?,B2_dense_naive,low_confidence,1.0,20,18.34,tt31870184 || tt32606470 || tt33702073 || tt36415829 || tt35889957 || tt35279934 || tt26475239 || tt19516714 || tt15367676 || tt32915652 || fictional-paper-moons-of-caldera || tt33058293 || tt28681764 || tt32014158 || tt35671745 || tt32394984 || tt35571169 || tt34392970 || fictional-clockwork-tide || tt36169378
U020,dev,What is the chemical formula for sulfuric acid?,B3_final,low_confidence,1.0,20,838.431,tt31416916 || tt36286603 || tt26475239 || tt32658576 || tt35022209 || tt32915652 || tt31870184 || tt35671745 || tt33334564 || tt33058293 || tt35279934 || tt36415829 || tt35571169 || tt20495188 || tt28681764 || tt32394984 || tt33702073 || tt32014158 || tt15367676 || tt30851137
U021,dev,Explain photosynthesis to a fifth-grade student.,B0_closed_book_refusal,refused,1.0,0,0.001,
U021,dev,Explain photosynthesis to a fifth-grade student.,B1_bm25,ok,0.0,20,15.17,tt34093882 || tt23685396 || tt36457300 || tt36398562 || tt31616179 || tt35050712 || tt30224274 || tt29721056 || tt28336753 || tt32080771 || tt24060916 || tt34510525 || tt32347068 || tt32499466 || tt31839457 || tt34163604 || tt1094588 || tt35889957 || tt13443304 || tt36107540
U021,dev,Explain photosynthesis to a fifth-grade student.,B2_dense_naive,ok,0.0,20,15.176,tt12042730 || tt28336753 || tt31849590 || tt34761028 || tt34510525 || tt33400053 || tt12421680 || tt19838566 || tt23018852 || tt13374694 || tt30012780 || fictional-paper-moons-of-caldera || tt35708159 || tt31078765 || tt28289169 || tt33268003 || tt32014158 || tt30177290 || tt13652154 || fictional-clockwork-tide
U021,dev,Explain photosynthesis to a fifth-grade student.,B3_final,low_confidence,1.0,20,883.097,tt34510525 || tt36457300 || tt23018852 || tt28336753 || tt34761028 || tt32080771 || tt36398562 || tt34093882 || tt35050712 || tt32014158 || tt35708159 || tt12042730 || tt12421680 || tt32347068 || tt34163604 || tt31839457 || tt33400053 || tt31849590 || tt23685396 || tt29721056
U022,dev,How should I tune a six-string guitar?,B0_closed_book_refusal,refused,1.0,0,0.001,
U022,dev,How should I tune a six-string guitar?,B1_bm25,ok,0.0,20,17.473,tt31113669 || tt33255196 || tt30135006 || tt36322381 || tt35376053 || tt31180256 || tt32612507 || tt36244882 || tt27575701 || tt35819561 || tt32317643 || tt32093575 || tt28629017 || tt32492478 || tt33354831 || tt15160410 || tt14630308 || tt36119712 || tt21087510 || tt32245870
U022,dev,How should I tune a six-string guitar?,B2_dense_naive,ok,0.0,20,21.704,tt31180256 || tt31883250 || tt35618773 || tt21856850 || tt33308959 || tt32272953 || tt30744238 || tt14630308 || tt35683453 || tt32112775 || tt32014158 || tt33039055 || tt33184184 || tt19889242 || tt33294048 || tt36120484 || tt15532464 || tt32565993 || fictional-paper-moons-of-caldera || tt29942819
U022,dev,How should I tune a six-string guitar?,B3_final,low_confidence,1.0,20,997.409,tt31180256 || tt31883250 || tt33308959 || tt19889242 || tt33255196 || tt14630308 || tt21856850 || tt28629017 || tt33354831 || tt32272953 || tt32014158 || tt32317643 || tt32612507 || tt31113669 || tt32492478 || tt33039055 || tt15160410 || tt30135006 || tt32093575 || tt33184184
U023,dev,How many calories are in a bowl of oatmeal with banana?,B0_closed_book_refusal,refused,1.0,0,0.001,
U023,dev,How many calories are in a bowl of oatmeal with banana?,B1_bm25,ok,0.0,20,14.9,tt21856850 || tt35633589 || tt35373270 || tt35956665 || tt34872408 || tt35819561 || tt33412851 || tt35148005 || tt30608304 || tt33674441 || tt33980836 || tt10462682 || tt32869207 || tt23685396 || tt31113669 || tt35051231 || tt31080774 || tt34748398 || tt26443616 || tt14113634
U023,dev,How many calories are in a bowl of oatmeal with banana?,B2_dense_naive,low_confidence,1.0,20,22.703,tt33219707 || tt35682680 || tt30691214 || tt21188986 || tt31416916 || tt28603964 || tt14674972 || tt34163604 || tt34356684 || tt35633589 || tt36101525 || tt27613895 || tt33336699 || tt36067615 || tt35004350 || tt35748025 || tt35050712 || tt35718349 || tt32658576 || tt31180256
U023,dev,How many calories are in a bowl of oatmeal with banana?,B3_final,low_confidence,1.0,20,906.991,tt34872408 || tt30608304 || tt21856850 || tt34356684 || tt14674972 || tt32869207 || tt35051231 || tt33980836 || tt28603964 || tt33412851 || tt36067615 || tt33219707 || tt35373270 || tt34163604 || tt35819561 || tt33674441 || tt36101525 || tt35682680 || tt23685396 || tt21188986
