id,category,split,answerable,question,gold_answer,answer_type,generated_answer,answer_correctness,citation_validity,citation_syntax_valid,judge_rationale,correct_refusal,over_refusal,cited_document_ids,gold_document_ids,top_20_document_ids,final_retrieval_status,top_rerank_score,title_retry,expansion_used,search_attempts,answer_latency_ms,judge_latency_ms,openai_calls,input_tokens,output_tokens,total_tokens,recall_at_5,recall_at_20,reciprocal_rank,ndcg_at_10
G011,single_hop,test,True,Who wrote Clockwork Tide?,Pavel Dune,answer,The writer of *Clockwork Tide* is Pavel Dune. [1][2],1.0,1.0,1.0,"The generated answer states that the writer of Clockwork Tide is Pavel Dune, which matches exactly with the gold answer 'Pavel Dune'. The first context item from the 'fictional-clockwork-tide' document explicitly states 'Writer: Pavel Dune', which supports the claim. The second citation refers to the same document and adds additional supporting information but does not contradict or add unsupported facts. Therefore, the answer is fully correct and properly cited.",,0.0,fictional-clockwork-tide,fictional-clockwork-tide,fictional-clockwork-tide || tt28302848 || tt33270254 || tt33043645 || tt30745221 || tt36120762 || tt14985230 || tt34872408 || tt33088099 || tt35618773 || tt10518942 || tt32547691 || tt32014158 || tt14576898 || tt33184184 || tt36103784 || tt17056778 || tt27751771 || tt26475239,ok,4.411561,False,False,1,3440.652,1668.361,2,2836,125,2961,1.0,1.0,1.0,1.0
G012,single_hop,test,True,What is the runtime of Clockwork Tide?,134 minutes,answer,The runtime of *Clockwork Tide* is 134 minutes. [1][2],1.0,1.0,1.0,"The generated answer states that the runtime of Clockwork Tide is 134 minutes, which exactly matches the gold answer. The claim is supported by document 1, which explicitly states the runtime as 134 minutes, and the answer includes correct citation markers referring to this document. There are no unsupported facts or extra claims, so the answer is fully correct and properly cited.",,0.0,fictional-clockwork-tide,fictional-clockwork-tide,fictional-clockwork-tide || fictional-paper-moons-of-caldera || fictional-ember-transit || fictional-the-orchard-below || fictional-neon-meridian || tt36163614 || tt27552099 || tt36103784 || tt32915652 || tt35571169 || tt21027078 || tt26424426 || tt19853742 || tt32658576 || tt33255196 || tt33334564 || tt32014158 || tt29922891,ok,4.948009,False,False,1,2383.656,1991.687,2,4575,107,4682,1.0,1.0,1.0,1.0
G013,single_hop,test,True,Who directed Paper Moons of Caldera?,Lumi Aster,answer,The director of *Paper Moons of Caldera* is Lumi Aster.[1][2],1.0,1.0,1.0,"The generated answer states that the director of Paper Moons of Caldera is Lumi Aster, which matches exactly the gold answer. The answer is supported by the citation [1], which is from the document 'fictional-paper-moons-of-caldera' that clearly states 'Director: Lumi Aster.' There are no extra unsupported claims. Thus, the answer is fully correct and the citation is valid.",,0.0,fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera || tt33088887 || fictional-neon-meridian || tt32228484 || tt26427582 || tt33088099 || tt27575701 || tt28302848 || tt36107540 || tt35487706 || tt33087870 || tt33043645 || tt27564844 || tt12097608 || tt29264684 || tt32205214 || tt35707396,ok,7.686811,False,False,1,2305.07,2046.986,2,3283,117,3400,1.0,1.0,1.0,1.0
G014,single_hop,test,True,What genres describe Paper Moons of Caldera?,"Animation, Family, and Science Fiction",answer,"The genres that describe *Paper Moons of Caldera* are Animation, Family, and Science Fiction. [1][2]",1.0,0.0,1.0,"The generated answer correctly lists the genres of Paper Moons of Caldera as Animation, Family, and Science Fiction, which matches the gold answer and is supported by the evidence quoted from the document with n:1. However, the citations [1][2] are not valid since the second citation number 2, although from the correct document, does not explicitly confirm the genres. Only citation [1] supports the genre claim. Therefore, the factual claim is correct but the citation usage is invalid because of an extraneous or unsupported citation.",,0.0,fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera || fictional-the-orchard-below || fictional-neon-meridian || tt21856850 || tt35487706 || tt27564844 || tt32014158 || tt27575701 || tt15311492 || tt19889242 || tt32205214 || tt31827708 || tt36107540 || tt33674441 || tt32658576 || tt28611345 || tt28302848,ok,7.062631,False,False,1,2623.444,2220.068,2,3825,150,3975,1.0,1.0,1.0,1.0
G015,single_hop,test,True,When is Paper Moons of Caldera released?,"November 6, 2026",answer,"*Paper Moons of Caldera* is released on November 6, 2026[1][2].",1.0,1.0,1.0,"The generated answer states that *Paper Moons of Caldera* is released on November 6, 2026, which exactly matches the gold answer 'November 6, 2026'. The citation [1] corresponds to the context document 'fictional-paper-moons-of-caldera' which explicitly includes the phrase 'Release date: November 6, 2026', directly supporting the claim. There are no unsupported claims or discrepancies. Therefore, the answer is fully correct and properly cited.",,0.0,fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera || fictional-neon-meridian || tt32857521 || fictional-ember-transit || tt1402593 || tt27575701 || tt34385135 || tt32658576 || tt35487706 || tt35148005 || tt24326458 || tt34356684 || tt26680792 || tt27564844 || tt32014158 || tt23552146 || tt36107540 || tt34693872,ok,8.139525,False,False,1,2614.207,1574.662,2,3715,139,3854,1.0,1.0,1.0,1.0
G016,multi_hop,dev,True,Which is longer Neon Meridian or The Orchard Below and by how many minutes?,Neon Meridian is 17 minutes longer,answer,"*Neon Meridian* is longer than *The Orchard Below* by 17 minutes. *Neon Meridian* has a runtime of 128 minutes, while *The Orchard Below* runs for 111 minutes[1][2].",1.0,1.0,1.0,"The generated answer correctly states that Neon Meridian is longer than The Orchard Below by 17 minutes, which matches the gold answer. The runtimes given, 128 minutes for Neon Meridian and 111 minutes for The Orchard Below, are directly supported by the evidence documents [1] and [2]. The answer provides accurate numerical runtime details and cites both relevant documents. There are no unsupported factual claims or errors relative to the gold answer.",,0.0,fictional-neon-meridian || fictional-the-orchard-below,fictional-neon-meridian || fictional-the-orchard-below,fictional-neon-meridian || fictional-the-orchard-below || tt31113669 || tt34872408 || tt36286603 || tt33308959 || tt21856850 || tt35625318 || tt33298998 || tt36307021 || tt32397787 || tt29717607 || tt15474782 || tt23143606 || tt27720130 || tt28302848 || tt33253151,ok,-2.411749,False,False,1,4473.452,1730.258,2,3371,149,3520,1.0,1.0,1.0,1.0
G017,multi_hop,dev,True,Which has the higher mock IMDb rating Ember Transit or Neon Meridian?,Neon Meridian is higher at 8.1 versus 7.9,answer,"**Neon Meridian** has the higher mock IMDb rating of 8.1, compared to **Ember Transit**, which has a rating of 7.9[1][2].",1.0,1.0,1.0,"The generated answer correctly states that Neon Meridian has the higher mock IMDb rating of 8.1, compared to Ember Transit's rating of 7.9. These ratings are explicitly supported by the evidence quotes and the numbered context documents 1 and 2 that provide the ratings and vote counts for both movies. The answer precisely matches the information in the gold answer with correct citation markers [1][2]. There are no unsupported claims or factual errors.",,0.0,fictional-ember-transit || fictional-neon-meridian,fictional-ember-transit || fictional-neon-meridian,fictional-neon-meridian || fictional-ember-transit || fictional-paper-moons-of-caldera || fictional-the-orchard-below || fictional-clockwork-tide || tt33308959 || tt28718613 || tt33298998 || tt34356684 || tt32409947 || tt33088099 || tt34861373 || tt26931994 || tt23143606 || tt32228484 || tt23018852 || tt32430579,ok,1.584538,False,False,1,2727.174,1918.455,2,3938,144,4082,1.0,1.0,1.0,1.0
G018,multi_hop,dev,True,Who directed Clockwork Tide and Paper Moons of Caldera?,Anika Shore directed Clockwork Tide and Lumi Aster directed Paper Moons of Caldera,answer,"**Clockwork Tide** was directed by Anika Shore, and **Paper Moons of Caldera** was directed by Lumi Aster[3][1].",1.0,1.0,1.0,"The generated answer correctly states that Anika Shore directed Clockwork Tide and Lumi Aster directed Paper Moons of Caldera, matching the gold answer exactly. Both claims are supported by the provided evidence from the related documents: 'Director: Anika Shore' in the fictional-clockwork-tide document and 'Director: Lumi Aster' in the fictional-paper-moons-of-caldera document. The citations [3][1] correspond accurately to the documents containing this information, making the citation valid.",,0.0,fictional-clockwork-tide || fictional-paper-moons-of-caldera,fictional-clockwork-tide || fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera || fictional-clockwork-tide || tt33088887 || fictional-neon-meridian || tt32228484 || tt26427582 || tt33088099 || tt29008864 || tt28302848 || tt13273052 || tt15474782 || tt27575701 || tt33043645 || tt35487706 || tt33087870 || tt27564844,ok,5.468245,False,False,1,2200.036,2369.025,2,3632,147,3779,1.0,1.0,1.0,1.0
G019,multi_hop,dev,True,Which was released first The Orchard Below or Ember Transit?,The Orchard Below was released first on May 8 2026,answer,"**The Orchard Below** was released first on May 8, 2026, while **Ember Transit** was released later on June 12, 2026[1][3].",1.0,1.0,1.0,"The generated answer correctly states that The Orchard Below was released first on May 8, 2026, and Ember Transit was released later on June 12, 2026. Both release dates match the gold evidence quotes and are supported by the respective documents [1] and [3]. The answer is fully correct and all factual claims are properly cited.",,0.0,fictional-ember-transit || fictional-the-orchard-below,fictional-the-orchard-below || fictional-ember-transit,fictional-the-orchard-below || fictional-ember-transit || tt35148005 || tt15474782 || tt1402593 || tt35994346 || tt36286603 || tt28718613 || tt36307021 || tt35625318 || tt35291758 || tt28302848 || tt34305694 || tt33298998 || tt28553687 || tt29302662 || tt26427582 || tt32572716,ok,-0.628326,False,False,1,2410.644,1573.183,2,3535,126,3661,1.0,1.0,1.0,1.0
G020,multi_hop,test,True,What is the combined runtime of The Orchard Below and Paper Moons of Caldera?,213 minutes,not_in_sources,"That looks like a movie question, but the current IMDb/TMDb sources do not contain enough reliable information to answer it.",0.0,0.0,0.0,,,1.0,,fictional-the-orchard-below || fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera || fictional-the-orchard-below || fictional-clockwork-tide || fictional-neon-meridian || fictional-ember-transit || tt36286603 || tt35487706 || tt36277018 || tt32014158 || tt32397787 || tt27790748 || tt27575701 || tt34356684 || tt36307021 || tt33253151 || tt27720130 || tt32205214,ok,2.371193,False,False,1,2666.237,0.0,1,2456,32,2488,1.0,1.0,1.0,1.0
G021,multi_hop,test,True,Which of Neon Meridian and Paper Moons of Caldera are science fiction films?,Both films are science fiction,answer,"Both *Neon Meridian* and *Paper Moons of Caldera* are science fiction films. *Neon Meridian* is categorized as Science Fiction and Thriller, while *Paper Moons of Caldera* falls under Animation, Family, and Science Fiction genres[1][2].",1.0,1.0,1.0,"The generated answer correctly states that both Neon Meridian and Paper Moons of Caldera are science fiction films, matching the gold answer. It also provides the full genre details for each film exactly as presented in the evidence: Neon Meridian is Science Fiction and Thriller, and Paper Moons of Caldera is Animation, Family, and Science Fiction. Every factual claim is supported by appropriate citations [1] for Paper Moons of Caldera and [2] for Neon Meridian. There are no extra unsupported factual claims.",,0.0,fictional-neon-meridian || fictional-paper-moons-of-caldera,fictional-neon-meridian || fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera || fictional-neon-meridian || tt32014158 || tt27564844 || tt12042730 || tt28302848 || tt33372918 || tt35305106 || tt33542015 || tt34587486 || tt33440748 || tt15437998 || tt33317797 || tt27751771 || tt1959374 || tt28289169 || tt35675558,ok,4.133567,False,False,1,2432.768,2151.84,2,3673,174,3847,1.0,1.0,1.0,1.0
G022,comparative,dev,True,Compare the mock IMDb ratings of Clockwork Tide and Paper Moons of Caldera.,Clockwork Tide is rated 8.3 and Paper Moons of Caldera is rated 8.0,answer,"The mock IMDb rating for *Clockwork Tide* is 8.3, while *Paper Moons of Caldera* has a mock IMDb rating of 8.0. Thus, *Clockwork Tide* has a slightly higher rating than *Paper Moons of Caldera*.[1][2]",1.0,1.0,1.0,"The generated answer states the mock IMDb ratings of Clockwork Tide as 8.3 and Paper Moons of Caldera as 8.0, which exactly matches the gold answer. Both ratings are correctly supported by the evidence from the cited documents [1] and [2]. The answer also correctly notes that Clockwork Tide has a slightly higher rating, a valid interpretation of the numeric difference. There are no unsupported or incorrect claims in the generated answer, and the citations correctly correspond to the supporting evidence.",,0.0,fictional-clockwork-tide || fictional-paper-moons-of-caldera,fictional-clockwork-tide || fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera || fictional-clockwork-tide || fictional-the-orchard-below || fictional-neon-meridian || fictional-ember-transit || tt27564844 || tt32014158 || tt35487706 || tt27575701 || tt33088099 || tt31409061 || tt32205214 || tt32228484 || tt35624695,ok,5.063248,False,False,1,3309.992,2818.369,2,4291,179,4470,1.0,1.0,1.0,1.0
G023,comparative,dev,True,Compare the runtimes of Ember Transit and The Orchard Below.,Ember Transit is 8 minutes longer at 119 minutes versus 111 minutes,answer,"*Ember Transit* has a runtime of 119 minutes, while *The Orchard Below* runs for 111 minutes. Thus, *Ember Transit* is 8 minutes longer than *The Orchard Below* [1][2].",1.0,1.0,1.0,"The generated answer states that Ember Transit has a runtime of 119 minutes and The Orchard Below has 111 minutes runtime, with Ember Transit being 8 minutes longer. These facts exactly match the gold answer and are supported by the citations [1] and [2], which explicitly mention the runtime of Ember Transit as 119 minutes and The Orchard Below as 111 minutes. The comparison and arithmetic are correct and fully supported by the provided evidence. There are no unsupported claims or additional information beyond the gold answer.",,0.0,fictional-ember-transit || fictional-the-orchard-below,fictional-ember-transit || fictional-the-orchard-below,fictional-ember-transit || fictional-the-orchard-below || fictional-paper-moons-of-caldera || fictional-clockwork-tide || fictional-neon-meridian || tt28718613 || tt35291758 || tt35994346 || tt36307021 || tt36286603 || tt26424426 || tt34356684 || tt30691214 || tt33063741 || tt33474152 || tt36120702 || tt28553687,ok,0.853102,False,False,1,2505.758,2018.651,2,4214,165,4379,1.0,1.0,1.0,1.0
G024,comparative,test,True,How do the genres of Neon Meridian and Ember Transit differ?,Neon Meridian is science fiction and thriller while Ember Transit is action and thriller,answer,"The genres of *Neon Meridian* are Science Fiction and Thriller, while *Ember Transit* is categorized as Action and Thriller. Thus, *Neon Meridian* leans toward a sci-fi thriller experience, whereas *Ember Transit* offers an action-packed thriller [1][2].",1.0,1.0,1.0,"The generated answer correctly states the genres of both movies as per the gold answer: ""Neon Meridian"" is science fiction and thriller, and ""Ember Transit"" is action and thriller. The answer includes all required parts of the question and does not contain unsupported claims. The citations [1] and [2] properly refer to the evidence quotes from the provided documents confirming these genres. Therefore, the answer is fully correct and the citations are valid.",,0.0,fictional-ember-transit || fictional-neon-meridian,fictional-neon-meridian || fictional-ember-transit,fictional-neon-meridian || fictional-ember-transit || tt21856850 || tt15311492 || tt28718613 || tt35994346 || tt35625318 || tt33088887 || tt28302848 || tt35305106 || tt26424426 || tt32409947 || tt21223696 || tt23143606 || tt33524865 || tt14674972 || tt31411238,ok,1.373531,False,False,1,2499.087,3679.187,2,3421,165,3586,1.0,1.0,1.0,1.0
G025,comparative,test,True,Which has more mock IMDb votes Neon Meridian or Paper Moons of Caldera and by how many?,Neon Meridian has 5640 more votes,answer,"**Neon Meridian** has more mock IMDb votes than **Paper Moons of Caldera** by 5,640 votes. Neon Meridian has 18,420 votes, while Paper Moons of Caldera has 12,780 votes[1][2].",1.0,1.0,1.0,"The generated answer correctly states that Neon Meridian has more mock IMDb votes than Paper Moons of Caldera by 5,640 votes. The vote counts given (18,420 for Neon Meridian and 12,780 for Paper Moons of Caldera) are accurate according to the cited evidence [1][2]. The difference calculation (18,420 - 12,780 = 5,640) is correct. All claims are supported by the given context, and the required documents are cited.",,0.0,fictional-neon-meridian || fictional-paper-moons-of-caldera,fictional-neon-meridian || fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera || fictional-neon-meridian || fictional-the-orchard-below || fictional-clockwork-tide || fictional-ember-transit || tt27575701 || tt35487706 || tt33308959 || tt10462682 || tt32014158 || tt29952017 || tt15516806 || tt14113634 || tt20259240 || tt32205214 || tt31827708 || tt23018852,ok,3.53545,False,False,1,2965.97,1669.236,2,4401,169,4570,1.0,1.0,1.0,1.0
G026,temporal,dev,True,On what date is Neon Meridian released?,"March 20, 2026",answer,"The movie *Neon Meridian* is released on March 20, 2026[1][2].",1.0,1.0,1.0,"The generated answer states that Neon Meridian is released on March 20, 2026, which exactly matches the gold answer 'March 20, 2026'. The answer is directly supported by the provided evidence from the document with the release date described as 'March 20, 2026' and also 'Release Date: 2026-03-20'. Both citations [1][2] refer to the evidence in the same document 'fictional-neon-meridian' that confirm the release date. There are no extra unsupported factual claims in the generated answer.",,0.0,fictional-neon-meridian,fictional-neon-meridian,fictional-neon-meridian || fictional-paper-moons-of-caldera || fictional-ember-transit || fictional-the-orchard-below || fictional-clockwork-tide || tt32857521 || tt32634330 || tt32658576 || tt28718613 || tt24326458 || tt35148005 || tt34861373 || tt23143606 || tt32228484 || tt34356684 || tt27262828 || tt32014158 || tt29510495,ok,7.332767,False,False,1,2072.706,5524.536,2,4368,153,4521,1.0,1.0,1.0,1.0
G027,temporal,dev,True,Which fictional movie is released on May 8 2026?,The Orchard Below,answer,"The fictional movie released on May 8, 2026, is *The Orchard Below*, directed by Ruben Hale. It is a mystery drama with a runtime of 111 minutes and stars Leona Price, Milo Saye, Nora Wren, and Cal Danner[1].",1.0,1.0,1.0,"The generated answer correctly identifies 'The Orchard Below' as the fictional movie released on May 8, 2026, matching the gold answer. The detailed information about the director, genre, runtime, and cast corresponds exactly to the data in the provided evidence from document 1. All factual claims are supported by the citation [1], which links to the correct source containing the release date and other movie details. There are no unsupported claims or errors.",,0.0,fictional-the-orchard-below,fictional-the-orchard-below,fictional-the-orchard-below || fictional-paper-moons-of-caldera || fictional-clockwork-tide || fictional-ember-transit || fictional-neon-meridian || tt34163604 || tt32582148 || tt33043645 || tt26681192 || tt36364266 || tt33797166 || tt12810824 || tt33452002 || tt32437905 || tt36119712 || tt34861373,ok,7.435785,False,False,1,2858.262,1860.798,2,4757,163,4920,1.0,1.0,1.0,1.0
G028,temporal,test,True,In which month is Ember Transit released?,June 2026,answer,"*Ember Transit* is released in June. It comes out on June 12, 2026[1][2].",1.0,1.0,1.0,"The generated answer states that Ember Transit is released in June and specifically on June 12, 2026, which exactly matches the gold answer 'June 2026' and the gold evidence quote 'Release date: June 12, 2026'. The citations [1][2] appropriately refer to the document 'fictional-ember-transit' containing the exact release date. The answer is fully correct and properly cited.",,0.0,fictional-ember-transit,fictional-ember-transit,fictional-ember-transit || fictional-neon-meridian || tt32857521 || tt32582148 || tt35148005 || tt24326458 || tt34385135 || tt35994346 || tt35625318 || tt28718613 || tt1402593 || tt35822521 || tt32409947 || tt32986423 || tt13080164 || tt31041943 || tt1796506 || tt29510495,ok,4.218786,False,False,1,2423.835,1821.936,2,3325,128,3453,1.0,1.0,1.0,1.0
G029,temporal,test,True,Which comes first Clockwork Tide or Paper Moons of Caldera?,Clockwork Tide comes first on August 14 2026,answer,"**Clockwork Tide** comes first, released on August 14, 2026, while **Paper Moons of Caldera** is released later on November 6, 2026[3][1].",1.0,1.0,1.0,"The generated answer states that Clockwork Tide comes first with a release date of August 14, 2026, followed by Paper Moons of Caldera on November 6, 2026. These dates exactly match the gold evidence quotes from the documents numbered [3] and [1], which correspond to the Clockwork Tide and Paper Moons of Caldera documents respectively. The information is fully supported by the cited documents and is consistent with the gold answer. There are no unsupported factual claims or errors.",,0.0,fictional-clockwork-tide || fictional-paper-moons-of-caldera,fictional-clockwork-tide || fictional-paper-moons-of-caldera,fictional-paper-moons-of-caldera || fictional-clockwork-tide || tt31827708 || tt27575701 || tt27564844 || fictional-neon-meridian || tt33298998 || tt32915652 || tt32014158 || tt34305694 || tt28302848 || tt1959374 || tt32871811 || tt13137408 || tt10518942 || tt27751771 || tt35076988 || tt20259240,ok,-0.12161,False,False,1,2509.408,1925.081,2,3792,161,3953,1.0,1.0,1.0,1.0
